project_id,date,energy_generated_kwh,revenue,cost,profit
P001,2024-01-01 00:00:00,1200,15000,8000,7000
P001,2024-01-01 00:00:00,1200,17000,8500,8500
P001,2024-02-01 00:00:00,1350,15000,8000,7000
P001,2024-02-01 00:00:00,1350,17000,8500,8500
P002,2024-01-01 00:00:00,980,12000,7000,5000
P002,2024-01-01 00:00:00,980,13500,7500,6000
P002,2024-02-01 00:00:00,1100,12000,7000,5000
P002,2024-02-01 00:00:00,1100,13500,7500,6000
P003,2024-01-01 00:00:00,1500,20000,10000,10000
P003,2024-01-01 00:00:00,1500,22000,11000,11000
P003,2024-02-01 00:00:00,1600,20000,10000,10000
P003,2024-02-01 00:00:00,1600,22000,11000,11000
P004,2024-01-01 00:00:00,800,9000,6000,3000
P004,2024-01-01 00:00:00,800,10500,6500,4000
P004,2024-02-01 00:00:00,950,9000,6000,3000
P004,2024-02-01 00:00:00,950,10500,6500,4000
P005,2024-01-01 00:00:00,1700,25000,12000,13000
P005,2024-01-01 00:00:00,1700,27000,13000,14000
P005,2024-02-01 00:00:00,1800,25000,12000,13000
P005,2024-02-01 00:00:00,1800,27000,13000,14000
